"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Early Pleistocene windblown deposits","sand","eQdp","Weakly cemented and partly consolidated sand in parabolic dunes.  Interdune lake and swamp deposits.","consolidated parabolic dunes","11_loess"
"Allochthonous rocks","mudstone","Kk","Undifferentiated alternating mudstone and sandstone, siliceous mudstone and micritic muddy limestone."," ","15_undifSed"
"Holocene windblown deposits","sand","Q1dp","Loose to poorly consolidated sand in fixed parabolic dunes.  Interdune lake and swamp deposits.","fixed parabolic dunes","11_loess"
"Neogene sedimentary rocks","conglomerate","Mppm","Poorly to moderately bedded sandstone, pebbly and bouldery sandstone, and conglomerate at Matapia Island."," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Kh","Undifferentiated Rangiawhia volcanics and Tokerau facies."," ","15_undifSed"
"Holocene windblown deposits","sand","Q1df","Loose sand in coastal foredunes","coastal foredunes","11_loess"
"Basement (Eastern Province) igneous rocks","granitoid","Khg","Stocks or a small pluton of granopphyre, locally including partly assimilated Rangiawhia volcanics host rocks."," ","18_crystalline"
"Basement (Eastern Province) igneous rocks","granitoid","Khg~","Stocks or a small pluton of granopphyre, locally including partly assimilated Rangiawhia volcanics host rocks."," ","18_crystalline"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","Kmw","Moderately indurated breccia, conglomerate, sandstone and mudstone unconformably overlain by centimetre-bedded dark grey to blac"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Kh~","Undifferentiated Rangiawhia volcanics and Tokerau facies."," ","15_undifSed"
"Late Cretaceous - Paleogene sedimentary rocks","sandstone","Kmw~","Moderately indurated breccia, conglomerate, sandstone and mudstone unconformably overlain by centimetre-bedded dark grey to blac"," ","15_undifSed"
"Basement (Eastern Province) igneous rocks","basalt","Khr~","Pillowed and massive flows of basalt and basaltic andesite, interbedded with rhyolitic tuff and tuff-breccia."," ","18_crystalline"
"Allochthonous rocks","gabbro","Ktg","Basaltic pillow lava with minor intercalated mudstone anmd limestone, intruded by sills of gabbro and dolerite."," ","18_crystalline"
"Allochthonous rocks","sandstone","Kkp","Weakly indurated metre-bedded quartzose, micaceous sandstone, with minor conglomerate, and interbeds of blue-grey mudstone."," ","15_undifSed"
"Neogene igneous rocks","volcanic breccia","Mcwv","Laharic and minor vent-filling andesitic breccia, lava flows, fluvial and lacustrine sandstone and mudstone.","Breccia, flows and sediments","17_volcanic"
"Neogene igneous rocks","andesite","Mcwi","Subvolcanic intrusive andesite; andesite, diorite and porphyry dikes.","Intrusions","18_crystalline"
"Allochthonous rocks","basalt","Kt","Mainly basalt pillow lava, with subvolcanic intrusives of basalt, dolerite and gabbro; locally incorporating siliceous mudstone"," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","greywacke","TJw","Massive to thin bedded, lithic volcaniclastic metasandstone and argillite, with tectonically enclosed basalt, chert and silceou"," ","15_undifSed"
"Holocene shoreline deposits","sand","Q1b","Loose sand, gravel and shell underlying beaches and forming beach ridges and shell banks.","Beach deposits","09_beachBarDune"
"Allochthonous rocks","sandstone","Ku","Strongly indurated, poorly stratified conglomerate, sandstone and argillite."," ","15_undifSed"
"Holocene river deposits","mud","Q1al","Unconsolidated to poorly consolidated mud, sand, gravel and peat deposits of alluvial, colluvial and lacustrine origins.","Alluvial/colluvial deposits","06_alluvium"
"Allochthonous rocks","mudstone","Kkw","Massive to thinly bedded, siliceous mudstone, locally with thin glauconitic sandstone interbeds."," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","lMm","Conglomerate, pebbly sandstone, mudstone and lignite."," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene undifferentiated estuary, river and swamp deposits","mud","eQal","Partly consolidated mud, sand, gravel and peat or lignite of alluvial, colluvial, lacustrine, swamp and estuarine origins.","alluvium","15_undifSed"
"Neogene igneous rocks","basalt","Pvkb","Basalt lava, volcanic plugs and minor tuff.","Basalt flows","18_crystalline"
"Allochthonous rocks","mudstone","Emt","Weakly to moderately indurated grey to blue-grey calcareous mudstone commonly with redeposited beds of glauconitic sandstone.","Motatau Group","15_undifSed"
"Neogene igneous rocks","breccia","Mcw","Andesitic breccia and agglomerate."," ","18_crystalline"
"Allochthonous rocks","mudstone","Kkw","Fissile, dark grey to white-weathering siliceous mudstone, blue-grey calcareous mudstone, and minor micritic limestone and chert"," ","15_undifSed"
"Allochthonous rocks","basalt","Kt","Basalt and pillow basalt, with subvolcanic intrusive. Local greenschist metamorphism; extensive zeolitisation."," ","18_crystalline"
"Allochthonous rocks","melange","KOm","Melange, comprising a matrix of sheared mudstone with included tectonic blocks of Northland Allochthon, Te Kuiti Group and Wait","Undifferentiated melange","15_undifSed"
"Allochthonous rocks","sandstone","Emo","Well bedded, moderately indurated, calcite-cemented, green to grey glauconitic sandstones, with intercalated blue-grey mudstones","Motatau Group","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Etr","Slightly calcareous, glauconitic, muddy, fine-grained sandstone."," ","15_undifSed"
"Allochthonous rocks","mudstone","Emt","Grey to blue-grey, calcareous mudstone, commonly with redeposited glauconitic sandstone beds."," ","15_undifSed"
"Allochthonous rocks","sandstone","Kkp","Weakly to moderately indurated, alternating thin- to thick-bedded, quartzofeldspathic sandstone and mudstone."," ","15_undifSed"
"Allochthonous rocks","limestone","Omm","Blue-grey to white, micritic, muddy limestone, commonly with glauconitic sandstone beds.","Motatau Group","15_undifSed"
"Allochthonous rocks","conglomerate","Ku","Strongly indurated, massive to poorly bedded conglomerate, pebbly sandstone and sandstone."," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","chert","TJwc","Beds dominated by chert and siliceous argillite.","chert","15_undifSed"
"Allochthonous rocks","sandstone","Etr","Slightly calcareous, glauconitic, muddy, fine-grained sandstone."," ","15_undifSed"
"Allochthonous rocks","mudstone","Kk","Structurally complex units of tectonically intercalated sandstone and mudstone lithofacies.","Undifferentiated","15_undifSed"
"Holocene estuary deposits","mud","Q1ae","Unconsolidated to poorly consolidated mud, sand and peat of estuarine origin.","Estuarine deposits","05_fluvialEstuarine"
"Allochthonous rocks","micrite","Omm","Micritic coccolith foraminiferal muddy limestone, commonly with redeposited beds of glauconitic sandstone.","Motatau Group","15_undifSed"
"Neogene igneous rocks","rhyolite","Pvkr","Alkaline and peralkaline rhyolite domes and local obsidian.","Rhyolite","18_crystalline"
"Allochthonous rocks","mudstone","Kkh","Soft red, brown, green, yellow and grey mudstone, commonly highly sheared to broken formation or melange."," ","15_undifSed"
"Neogene igneous rocks","scoria","Pvks","Basalt scoria.","Scoria","18_crystalline"
"Pleistocene - Holocene hill slope deposits","unknown","Ql","Unconsolidated to poorly consolidated landslide and rockfall deposits","landslide and rockfall","15_undifSed"
"Paleogene sedimentary rocks","mudstone","Etm","Massive to poorly stratified, calcareous, blue-grey mudstone."," ","15_undifSed"
"Late Pleistocene - Holocene hill slope deposits","unknown","uQl","Unconsolidated to poorly consolidated landslide and rockfall deposits of mixed lithologies.","Landslide debris","15_undifSed"
"Allochthonous rocks","basalt","Ktb~","Basaltic pillow lava and pillow breccia, with sills and dikes of basalt and dolerite."," ","18_crystalline"
"Basement (Eastern Province) igneous rocks","basalt","Ycp","Massive basalt, pillow lava, metatuff, chert and argillite with prehnite-pumpellyite facies metamorphism."," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Yco","Strongly indurated sandstone and argillite; metamorphism up to pumpellyite-actinolite facies."," ","15_undifSed"
"Neogene river deposits","sandstone","Plal","Thin-bedded, carbonaceous sandstone and carbonaceous mudstone with intercalated conglomerate and lignite.","alluvium","06_alluvium"
"Basement (Eastern Province) igneous rocks","basalt","Ycpv","Beds dominated by basaltic lava flows and pillow lavas.","basalt","18_crystalline"
"Paleogene sedimentary rocks","limestone","Otw","Stylolitic, bioclastic limestone with conglomerate and calcareous sandstone beds."," ","15_undifSed"
"Holocene swamp deposits","peat","Q1as","Unconsolidated to poorly consolidated carbonaceous mud and peat of swamp origin.","Swamp deposits","01_peat"
"Basement (Eastern Province) melange","melange","Ycpm","Melange and broken formation","melange","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Etr","Poorly bedded, fossiliferous, dark green, calcareous glauconitic sandstone."," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","chert","Ycpc","Beds dominated by chert and siliceous argillite.","chert","15_undifSed"
"Basement (Eastern Province) igneous rocks","basalt","TJwv","Beds dominated by basaltic lava flows, pillow lavas and volcaniclastics.","basalt","18_crystalline"
"Early Pleistocene - Late Pleistocene igneous rocks","basalt","Qvkb","Basalt lava and volcanic plugs.","Basalt flows","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Yco","Strongly indurated sandstone and argillite.  Metamorphism up to pumpellyite-actinolite facies."," ","15_undifSed"
"Paleogene sedimentary rocks","mudstone","Etm","Massive blue-grey calcareous mudstone."," ","15_undifSed"
"Basement (Eastern Province) melange","melange","TJwm","Melange zones","melange","15_undifSed"
"Early Pleistocene - Late Pleistocene igneous rocks","scoria","Qvks","Basalt scoria commonly forming steep-sided cones.","Scoria","18_crystalline"
"Allochthonous rocks","sandstone","Kkm","Moderately indurated, centimetre- to decimetre-bedded mid to dark grey fine-grained sandstone and blue-grey mudstone."," ","15_undifSed"
"Allochthonous rocks","mudstone","Mwx","Calcareous mudstone with sandstone and breccia derived from the Northland Allochthon."," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mwd","Alternating graded sandstone and mudstone.","undifferentiated","15_undifSed"
"Allochthonous rocks","sandstone","Ot","Calcareous sandstone, calcareous mudstone and limestone"," ","15_undifSed"
"Paleogene sedimentary rocks","biosparite","Otw","Bryozoan-molluscan-echinoid-foraminiferal-algal limestone."," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","Mop","Calcareous mudstone with intercalated sandstone and breccia derived from the Northland Allochthon."," ","15_undifSed"
"Allochthonous rocks","breccia","Ktp~","Poorly sorted, polymict igneous breccia of basalt, dolerite and gabbro, with minor intercalated volcaniclastic sandstone and tuf"," ","15_undifSed"
"Allochthonous rocks","breccia","Ktp","Poorly sorted, polymict igneous breccia of basalt, dolerite and gabbro, with minor intercalated volcaniclastic sandstone and tuf"," ","15_undifSed"
"Neogene igneous rocks","basaltic andesite","Pvka","Cone-forming basaltic andesite flows.","Basaltic andesite","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Etk","Carbonaceous mudstone, sandstone, quartz pebble conglomerate and coal seams."," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Mow","Conglomerate and sandstone derived from the Northland Allochthon."," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","conglomerate","TJwg","Conglomerate beds.","conglomerate","15_undifSed"
"Neogene sedimentary rocks","mudstone","Mot","Massive to poorly bedded mudstone and muddy sandstone."," ","15_undifSed"
"Late Pliocene - Early Pleistocene igneous rocks","basalt","Qvb","Basalt flows","basalt flows","18_crystalline"
"Late Pliocene - Early Pleistocene igneous rocks","dacite","Qvkd","Dacite and rhyodacite domes with minor flows and tuff.","Dacite","18_crystalline"
"Holocene windblown deposits","sand","Q1dp","Loose to poorly consolidated sand in fixed parabolic and local transverse dunes; minor sand, mud and peat in interdune deposits","Youngest parabolic and transvers","11_loess"
"Neogene igneous rocks","rhyolite","Mhm","Rhyolite flow and dome complexes with associated breccia and tuff; extensive hydrothermal alteration."," ","18_crystalline"
"Neogene igneous rocks","breccia","Pvkh","Bedded hydrothermal breccia and siliceous sinter.","Sinter deposits","18_crystalline"
"Allochthonous rocks","mudstone","Kkh","Thin-bedded red, brown, green and grey mudstone."," ","15_undifSed"
"Neogene sedimentary rocks","mudstone","Mot","Massive to poorly bedded mudstone and muddy fine-grained sandstone ."," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Moo","Cobble and pebble conglomerate derived mainly from Tangihua Complex.  Locally interfingered with Waipoua basalt flows."," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Moo~","Cobble and pebble conglomerate derived mainly from Tangihua Complex.  Locally interfingered with Waipoua basalt flows."," ","15_undifSed"
"Neogene igneous rocks","basalt","Mtw","Basalt lava flows and thin interbedded tuff and lapilli."," ","18_crystalline"
"Neogene igneous rocks","basalt","Mtw","Plateau-forming basalt, tuff and lapilli derived from the offshore Waipoua volcano; in many places very deeply weathered."," ","18_crystalline"
"Neogene sedimentary rocks","conglomerate","Mtm","Massive to crudely bedded , cobble and pebble conglomerate with thin bedded mudstone."," ","15_undifSed"
"Neogene igneous rocks","basalt","Mtw~","Plateau-forming basalt, tuff and lapilli derived from the offshore Waipoua volcano; in many places very deeply weathered."," ","18_crystalline"
"Holocene human-made deposits","unknown","Q1n","Landfill areas containing recompacted clay- to gravel-sized materials, sometimes including demolition debris and refuse.","Construction fill","04_fill"
"Holocene windblown deposits","sand","Q1dm","Loose sand in mobile dunes.","Mobile dunes","11_loess"
"Neogene igneous rocks","dacite","Mcrd","Dacite domes and vent-filling breccia, locally altered to halloysitic clay.","Dacite","18_crystalline"
"Neogene sedimentary rocks","sandstone","Mta","Thin bedded sandstone and mudstone, locally with thick coarse-grained sandstone and grit beds."," ","15_undifSed"
"Neogene igneous rocks","andesite","Mcri","Andesite, diorite and granodiorite intrusions.","Intrusions","18_crystalline"
"Neogene sedimentary rocks","siltstone","Mwg","Laminated to thin-bedded, calcareous siltstone with rare, interbedded shelly sandstone."," ","15_undifSed"
"Holocene river deposits","mud","Q1al","Unconsolidated to poorly consolidated mud, sand, gravel and peat deposits of alluvial, colluvial and lacustrine origins."," ","06_alluvium"
"Allochthonous rocks","mudstone","Om","Blue-grey to pale grey, calcareous mudstone and muddy limestone, glauconitic sandstone and minor siltstone and chert.","Motatau Group","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pad","Cemented, dune-bedded sand and associated estuarine and fluviatile deposits."," ","15_undifSed"
"Early Pleistocene windblown deposits","sand","eQd","Weakly cemented and partly consolidated sand in fixed parabolic dunes, capped by clay-rich sandy soils.","Older parabolic dunes","11_loess"
"Allochthonous rocks","greywacke","TJw","Massive to thin bedded, lithic volcaniclastic metasandstone and argillite, with tectonically enclosed basalt, chert and silceou"," ","15_undifSed"
"Allochthonous rocks","sandstone","Mwz","Flaggy, planar-bedded, calcareous, glauconitic sandstone, polymict breccia and pebble conglomerate."," ","15_undifSed"
"Allochthonous rocks","mudstone","Kkw","Mudstone.","Undifferentiated  mudstone","15_undifSed"
"Neogene igneous rocks","volcanic breccia","Mcrv","Weakly stratified to massive, rubbly andesitic breccia, andesite flows and minor tuff.","Volcaniclastics and flows","17_volcanic"
"Allochthonous rocks","coal","Ea","Carbonaceous mudstone, quartz pebble conglomerate and a sub-bituminous coal seam."," ","15_undifSed"
"Allochthonous rocks","siltstone","Mwg","Laminated to thin-bedded, calcareous siltstone with rare, interbedded shelly sandstone."," ","15_undifSed"
"Allochthonous rocks","limestone","Otw","Stylolitic, bioclastic limestone with conglomerate and calcareous sandstone beds."," ","15_undifSed"
"Allochthonous rocks","melange","KOm","Melange, comprising a matrix of sheared mudstone with included tectonic blocks of Northland Allochthon, Te Kuiti Group and Wait"," ","15_undifSed"
"Late Pleistocene sediment","sand","lQdt","Weakly cemented sand in fixed transverse dune ridges.","Transverse dune ridges","09_beachBarDune"
"Late Pleistocene river deposits","mud","lQal","Poorly consolidated mud, sand, gravel and peat deposits of alluvial, swamp and estuarine origins.","alluvium","06_alluvium"
"Allochthonous rocks","sandstone","Mwp","Alternating thick-bedded, volcanic-rich, graded sandstone and siltstone."," ","15_undifSed"
"Neogene igneous rocks","andesite","Mtsi","Basaltic, andesitic and dacitic necks, dikes, sills and laccoliths.","Intrusions","18_crystalline"
"Neogene sedimentary rocks","sandstone","Mwn","Thick-bedded, bioclastic sandstone."," ","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Ot","Calcareous sandstone, calcareous mudstone and limestone"," ","15_undifSed"
"Allochthonous rocks","mudstone","Etm","Massive to poorly stratified, calcareous, blue-grey mudstone."," ","15_undifSed"
"Late Pleistocene windblown deposits","sand","lQdp","Weakly cemented sand in fixed parabolic dunes; minor sand, mud and peat in interdune deposits.","Younger parabolic dunes","11_loess"
"Neogene sedimentary rocks","sandstone","Mwp","Alternating thick-bedded, volcanic-rich, graded sandstone and siltstone."," ","15_undifSed"
"Neogene igneous rocks","breccia","Mtsb","Pyroclastic dikes and breccia pipes.","Breccia pipes","18_crystalline"
"Neogene igneous rocks","dacite","Mcu","Dacite"," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Jmt","Interbedded feldspar-lithic volcanic sandstone, siltstone and mudstone/argillite, with minor conglome"," ","15_undifSed"
"Allochthonous rocks"," ","Kts","Serpentinite pod."," ","15_undifSed"
"Neogene igneous rocks","olivine basalt","Mvt","Olivine basalt flow remnants"," ","18_crystalline"
"Neogene igneous rocks","andesite","Mcu","Basaltic andesite, andesite and dacite intrusives, flows, volcaniclastites and volcanic epiclastites."," ","18_crystalline"
"Neogene igneous rocks","basaltic andesite","Mti","Basaltic andesite flows and pillow lavas intruded by feeder dikes."," ","18_crystalline"
"Neogene sedimentary rocks","mudstone","Mwi","Thin-bedded mudstone, sandy siltstone and rippled muddy fine-grained sandstone."," ","15_undifSed"
"Allochthonous rocks","sandstone","Emo","Calcite-cemented glauconitic sandstone."," ","15_undifSed"
"Neogene igneous rocks","ignimbrite","Mhc","Ignimbrite flow sheets and local rhyolitic and obsidian-rich pumice breccia deposits and tuff."," ","18_crystalline"
"Neogene igneous rocks","rhyolite","Mhm","Rhyolite flow and dome complexes with associated breccias and tuffs."," ","18_crystalline"
"Holocene swamp deposits","peat","Q1as","Soft, dark brown to black, mud, muddy sand, muddy peat and peat. Locally extensive peat bogs.","Swamp deposits and peat bogs","01_peat"
"Holocene windblown deposits","sand","Q1dm","Loose sand in active, unvegetated or sparsely vegetated dune fields and deflation zones.","Mobile dunes","11_loess"
"Allochthonous rocks","mudstone","Mwb","Thin-bedded mudstone, sandy siltstone and rippled muddy fine-grained sandstone, with minor graded, medium-grained to fine-grain"," ","15_undifSed"
"Holocene river deposits","mud","Q1al","Sand, silt mud and clay with local gravel and peat beds.","Alluvial and colluvial deposits","06_alluvium"
"Middle Pleistocene - Late Pleistocene river and hill slope deposits","mud","lQa","Predominantly pumiceous sand, silt, mud and clay, with interbedded gravel and peat.","Alluvial and colluvial deposits","06_alluvium"
"Allochthonous rocks","mudstone","Mwf","Massive, white to grey, calcareous mudstone to siltstone with minor tuff."," ","15_undifSed"
"Neogene sedimentary rocks","volcanic sandstone","Mtr","Proximal, marine volcaniclastic sandstone and breccia."," ","17_volcanic"
"Early Pleistocene sedimentary rocks","volcanic breccia","Qvhb","Debris flow-derived dacite breccia.","Dacite breccia","17_volcanic"
"Neogene igneous rocks","rhyodacite","Pvw","Flow-banded rhyodacite lava."," ","18_crystalline"
"Early Pleistocene igneous rocks","dacite","Qvhl","Porphyritic dacite lava flows and dikes.","Dacite lava","18_crystalline"
"Neogene sedimentary rocks","volcanic sandstone","Mtk","Thick-bedded, muddy volcaniclastic sandstone and mudstone."," ","17_volcanic"
"Holocene windblown deposits","sand","Q1dp","Loose to poorly consolidated, quartzofeldspathic and mafic-rich sands in fixed parabolic dunes and local, small transverse dunes","Fixed parabolic dunes","11_loess"
"Neogene sedimentary rocks","volcanic breccia","Mtu","Laharic andesite tuff-breccia, pumiceous pyroclastic flow deposits and tuff, with lignite and soil horizons."," ","17_volcanic"
"Neogene sedimentary rocks","mudstone","Mwb","Thin-bedded mudstone, sandy siltstone and rippled muddy fine sandstone, with minor graded, medium to fine sandstone."," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Mwo","Conglomerate, composed of well-rounded, cobble- and pebble-size clasts of andesite, microdiorite, spillitic basalt, limestone an"," ","15_undifSed"
"Neogene sedimentary rocks","volcanic sandstone","Mtr","Volcaniclastic sandstone and breccia."," ","17_volcanic"
"Neogene sedimentary rocks","volcanic sandstone","Mtk","Thick-bedded, muddy, volcaniclastic sandstone and fossiliferous mudstone."," ","17_volcanic"
"Allochthonous rocks","limestone","Omm","Blue-grey to white, micritic, coccolith foraminiferal, muddy limestone, commonly with thin glauconitic sandstone beds: commonly","Motatau Group","15_undifSed"
"Neogene sedimentary rocks","mudstone","Mwi","Thin-bedded mudstone, sandy siltstone and rippled muddy fine sandstone."," ","15_undifSed"
"Neogene sedimentary rocks","turbidite","Mwp","Alternating, thick-bedded, volcanic-rich, graded sandstone and siltstone, with volcaniclastic grit beds."," ","15_undifSed"
"Allochthonous rocks","mudstone","Kk","Closely fractured to sheared, light or dark coloured, siliceous and sometimes calcareous mudstone, with micaceous sandstone, sil"," ","15_undifSed"
"Holocene hill slope deposits","debris","Q1l","Landslide and rockfall detritus, derived from more than one geological unit.","landslide and rockfall detritus","15_undifSed"
"Neogene sedimentary rocks","vitric tuff","Mth","Hard, fine-grained, brown hyaloclastic tuff."," ","15_undifSed"
"Neogene sedimentary rocks","sand","eQa","Mainly pumiceous alluvium and colluvium with interbedded peat"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","greywacke","TJw","Massive to thin bedded, lithic volcaniclastic metasandstone and argillite, with tectonically enclosed spilite, chert and red and"," ","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Mwr","Greywacke conglomerate and breccia with associated grit, pebbly medium to coarse sandstone, carbonaceous siltstone and shelly, p"," ","15_undifSed"
"Early Pleistocene windblown deposits","sand","eQdp","Weakly cemented and uncemented quartzofeldspathic to mafic-rich, dune-bedded sand and clay-rich sandy paleosols, with lenses of","Parabolic dunes","11_loess"
"Allochthonous rocks","basalt","Kt","Basalt pillow lava, with subvolcanic intrusives of basalt, dolerite and gabbro."," ","18_crystalline"
"Neogene igneous rocks","basalt","Mvt","Olivine basalt and olivine basaltic andesite flow remnants and dikes."," ","18_crystalline"
"Neogene igneous rocks","volcanic breccia","Mto","Basaltic andesite, hyaloclastite breccia and tuff with minor basaltic pillow lava."," ","17_volcanic"
"Neogene sedimentary rocks","sandstone","Pad","Moderately to poorly consolidated, cross-bedded, plane-parallel and ripple-laminated sandstone, with paleosols, lignite and carb"," ","15_undifSed"
"Allochthonous rocks","limestone","Om","Blue-grey to pale grey, calcareous mudstone to muddy limestone, commonly with glauconitic sandstone and minor interbedded siltst","Motatau Group","15_undifSed"
"Holocene windblown deposits","sand","Q1df","Loose sand in arcuate, subparallel sand ridges, with rare, weakly developed covering paleosols.","Coastal foredunes","11_loess"
"Early Pleistocene - Middle Pleistocene windblown deposits","sand","eQdf","Dune belts of arcuate, subparallel, weakly cemented and uncemented sand ridges, often capped by cemented, clay-rich sandy paleos","Coastal foredunes","11_loess"
"Neogene sedimentary rocks","sandstone","Mwh","Thick-bedded, graded, calcareous sandstone with minor interbedded mudstone.","Hoteo beds","15_undifSed"
"Holocene human-made deposits","fill","Q1nc","Landfill areas containing recompacted clay- to gravel-sized materials, sometimes including demolition debris.","Construction fill","04_fill"
"Basement (Eastern Province) sedimentary rocks","chert","TJwt","Lensoid chert, siliceous argillite and spilite, locally with manganese ore."," ","15_undifSed"
"Neogene igneous rocks","granodiorite","Mcc","Granodiorite to diorite, with minor aplites and pegmatites."," ","18_crystalline"
"Neogene sedimentary rocks","limestone","Mwu","Pebbly, gritty, shelly or sandy, bioclastic, crystalline or semicrystalline limestone, and local limestone breccia, with thin sh"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Jmt","Interbedded feldspar-lithic volcanic sandstone, siltstone and mudstone/argillite, with minor conglomerate and coarse sandstone."," ","15_undifSed"
"Neogene sedimentary rocks","turbidite","Mwv","Alternating lithic-volcanic sandstone and mudstone with andesitic grit."," ","15_undifSed"
"Holocene shoreline deposits","gravel","Q1b","Unconsolidated, sandy to muddy, pebbly and shelly beach ridges.","Beach deposits","09_beachBarDune"
"Allochthonous rocks","mudstone","Kkh","Red, brown, green and grey, typically noncalcareous, commonly highly sheared mudstone, with small serpentinite bodies."," ","15_undifSed"
"Neogene sedimentary rocks","turbidite","Mwe","Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits."," ","15_undifSed"
"Neogene sedimentary rocks","volcanic sandstone","Mwc","Thick-bedded, graded, pebbly and gritty volcanic sandstone and thin-bedded fine sandstone and siltstone."," ","17_volcanic"
"Neogene sedimentary rocks","conglomerate","Mwl","Conglomerate, composed mainly of well-rounded, boulder-, cobble- and pebble-size clasts of andesite, with less microdiorite, spi"," ","15_undifSed"
"Neogene igneous rocks","quartz diorite","Mcp","Quartz diorite to granodiorite, with minor aplites and pegmatites."," ","18_crystalline"
"Allochthonous rocks","mudstone","Omp","Massive, white to grey, calcareous mudstone to siltstone with minor tuff.","Motatau Group","15_undifSed"
"Paleogene sedimentary rocks","limestone","Oth","Flaggy limestone, calcareous siltstone, and carbonaceous siltstone and sandstone with thin coal seams and lenticular conglomerat"," ","15_undifSed"
"Holocene windblown deposits","sand","Q1d","Loose to poorly consolidated, quartzofeldspathic and mafic-rich dune sands and associated facies.","Dunes and associated facies","11_loess"
"Allochthonous rocks","mudstone","Kkw","Cream to grey, siliceous and sometimes calcareous mudstone to fine sandy siltstone."," ","15_undifSed"
